,id_caso,id_caso_relacionado,a_o,mes,d_a,c_digo_dane_de_municipio,municipio,departamento,regi_n,modalidad,presunto_responsable,descripci_n_presunto,abandono_o_despojo_forzado,amenaza_o_intimidaci_n,ataque_contra_misi_n_m_dica,confinamiento_o_restricci,desplazamiento_forzado,extorsi_n,lesionados_civiles,pillaje,tortura,total_combatientes,total_civiles,total_de_v_ctimas_del_caso,tipo_de_armas,latitud_longitud,otro_hecho_simult_neo
49,185317,CR005160,1999,12,6,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,1,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",
50,185318,CR046007,1999,12,17,86865,VALLE DEL GUAMUEZ,PUTUMAYO,BAJO PUTUMAYO,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,24,0,0,0,6,6,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-76.9059688, 0.4239040926]}",
51,185347,CR005143,2002,7,24,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,ALTIPLANO CUNDIBOYACENSE,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,5,0,0,3,0,3,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.62191472, 4.847575999]}",
52,185319,CR005131,1999,12,24,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,OTRO ¿CUÁL?,NO APLICA,0,0,0,0,0,0,2,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
53,185320,CR018871,2000,1,18,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,8,0,0,0,1,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
54,185321,CR005022,2000,3,26,25307,GIRARDOT,CUNDINAMARCA,SUROCCIDENTE DE CUNDINAMARCA,ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,23,0,0,1,0,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.79779459, 4.313078337]}",
55,185322,CR005023,2000,3,30,25123,CACHIPAY,CUNDINAMARCA,ALTIPLANO CUNDIBOYACENSE,ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,13,0,0,0,3,3,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.4357071, 4.730954629]}",
56,185323,CR018971,2000,3,31,25123,CACHIPAY,CUNDINAMARCA,ALTIPLANO CUNDIBOYACENSE,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,1,0,0,0,1,19,0,0,0,3,3,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.4357071, 4.730954629]}",CAPTURA DE GUERRILLERO
57,185324,CR005148,2000,10,2,68081,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,9,0,0,0,2,2,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-73.84995698, 7.064963864]}",
58,185325,,2000,11,5,76001,CALI,VALLE DEL CAUCA,SUR DEL VALLE,ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,6,0,0,0,1,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",
59,185326,CR005156,2000,11,18,86568,PUERTO ASIS,PUTUMAYO,BAJO PUTUMAYO,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,12,0,0,0,1,2,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-76.49727285, 0.5050467219]}",
