,id_caso,id_caso_relacionado,a_o,mes,d_a,c_digo_dane_de_municipio,municipio,departamento,regi_n,modalidad,presunto_responsable,descripci_n_presunto,abandono_o_despojo_forzado,amenaza_o_intimidaci_n,ataque_contra_misi_n_m_dica,confinamiento_o_restricci,desplazamiento_forzado,extorsi_n,lesionados_civiles,pillaje,tortura,otro_hecho_simult_neo,total_de_v_ctimas_del_caso,tipo_de_armas,latitud_longitud,violencia_basada_en_g_nero
961,289319,,1991,8,21,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATENTADO,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,7,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
962,289320,,1991,8,26,68615,RIONEGRO,SANTANDER,MAGDALENA MEDIO,RETÉN,GUERRILLA,ELN,0,0,0,0,0,0,3,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.1501469118, 7.2650104862]}",
963,289321,,1991,8,26,73168,CHAPARRAL,TOLIMA,SUR DEL TOLIMA,SICARIATO,GUERRILLA,FARC,1,1,0,0,1,0,1,0,0,INTENTO DE RECLUTAMIENTO,10,ARMA DE FUEGO - ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.695903568, 3.9048712277]}",
964,289322,,1991,9,2,19256,EL TAMBO,CAUCA,NORTE DEL CAUCA,ASALTO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-76.77121652, 2.4344791797]}",
965,289325,,1991,9,6,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE INDISCRIMINADO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,7,0,0,,7,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
966,289327,,1991,9,11,13670,SAN PABLO,BOLIVAR,MAGDALENA MEDIO,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,5,ND,"{'type': 'Point', 'coordinates': [-73.924168553, 7.4767206715]}",
967,289328,,1991,9,12,15572,PUERTO BOYACA,BOYACA,MAGDALENA MEDIO,ASALTO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.5645370213, 6.2219838126]}",
968,289330,,1991,9,13,20238,EL COPEY,CESAR,SIERRA NEVADA DE SANTA MARTA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,1,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.9627174377, 10.1495254346]}",
969,289331,,1991,9,13,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,RETENCIÓN/EJECUCIÓN,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,,8,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
970,289332,,1991,9,13,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,RETENCIÓN/EJECUCIÓN,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,9,ND,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
971,289333,,1991,9,14,50330,MESETAS,META,ARIARI GUAYABERO,ASALTO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,1,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.0436808546, 3.383924761]}",
972,289334,,1991,9,14,41872,VILLAVIEJA,HUILA,NORTE DEL HUILA,ASALTO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.1111559497, 3.3710488309]}",
973,289336,,1991,9,18,50568,PUERTO GAITAN,META,ALTILLANURA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,OTRO,0,0,0,0,0,0,0,0,1,,5,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-72.0830789361, 4.3144874554]}",
