,relcase_tax,year,mes,d_a,latitud_longitud,c_digo_dane_de_municipio,municipio,departamento,regi_n,g1_tax,dg1_tax,victims_tax,guerrattack_tax,parattack_tax,posdattack_tax,clash_tax,govattack_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,latitud_longitud_dict,latitude,longitude,date,event,dataset
63,CR005161,2000,12,6,"{'type': 'Point', 'coordinates': [-75.18444508, 6.142896667]}",5313,GRANADA,ANTIOQUIA,ORIENTE ANTIOQUEÑO,GUERRILLA,FARC,22.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.18444508, 6.142896667]}",6.142896667,-75.18444508,2000-12-6,63,AT
64,CR005162,2002,12,16,"{'type': 'Point', 'coordinates': [-75.27772259, 2.935604415]}",41001,NEIVA,HUILA,NORTE DEL HUILA,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.27772259, 2.935604415]}",2.935604415,-75.27772259,2002-12-16,64,AT
65,CR005163,1992,3,27,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,ELN,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,1992-3-27,65,AT
66,CR005164,2003,9,9,"{'type': 'Point', 'coordinates': [-72.47189235, 6.187082996]}",15183,CHITA,BOYACA,ALTIPLANO CUNDIBOYACENSE,GUERRILLA,ELN,9.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.47189235, 6.187082996]}",6.187082996,-72.47189235,2003-9-9,66,AT
67,CR005165,2003,9,28,"{'type': 'Point', 'coordinates': [-75.60856043, 1.61792293]}",18001,FLORENCIA,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,GUERRILLA,FARC,14.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.60856043, 1.61792293]}",1.61792293,-75.60856043,2003-9-28,67,AT
68,CR005166,2012,2,1,"{'type': 'Point', 'coordinates': [-78.76385415, 1.80711725]}",52835,SAN ANDRES DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,GUERRILLA,FARC,9.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-78.76385415, 1.80711725]}",1.80711725,-78.76385415,2012-2-1,68,AT
69,CR005167,2012,8,26,"{'type': 'Point', 'coordinates': [-73.79453841, 3.218280369]}",50711,VISTAHERMOSA,META,ARIARI GUAYABERO,GUERRILLA,FARC,6.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.79453841, 3.218280369]}",3.218280369,-73.79453841,2012-8-26,69,AT
70,CR005168,2003,7,31,"{'type': 'Point', 'coordinates': [-72.69196586, 5.996713021]}",15757,SOCHA,BOYACA,ALTIPLANO CUNDIBOYACENSE,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.69196586, 5.996713021]}",5.996713021,-72.69196586,2003-7-31,70,AT
71,CR005169,2005,5,3,"{'type': 'Point', 'coordinates': [-71.87233343, 6.95385957]}",81736,SARAVENA,ARAUCA,SARARE,GUERRILLA,NO IDENTIFICADA,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.87233343, 6.95385957]}",6.95385957,-71.87233343,2005-5-3,71,AT
72,CR005170,2012,6,5,"{'type': 'Point', 'coordinates': [-78.109849, 2.477550593]}",52250,EL CHARCO,NARIÑO,ANDEN PACIFICO SUR,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-78.109849, 2.477550593]}",2.477550593,-78.109849,2012-6-5,72,AT
73,CR005171,1989,12,6,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,OTRO ¿CUÁL?,NO APLICA,63.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,1989-12-6,73,AT
74,CR005172,2012,11,4,"{'type': 'Point', 'coordinates': [-77.21589814, 2.040478768]}",19075,BALBOA,CAUCA,PATIA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.21589814, 2.040478768]}",2.040478768,-77.21589814,2012-11-4,74,AT
