,dataset,event,date,enddate,latitude,longitude,relcase_tax,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,clash_tax,govattack_tax,guerrattack_tax,parattack_tax,posdattack_tax,c_digo_dane_de_municipio,year
104,AT,104,2012-4-21,2012-4-21,4.439608991,-75.19371478,CR018646,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,73001,2012
105,AT,105,2015-6-26,2015-6-26,0.5050467219,-76.49727285,CR018738,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,86568,2015
106,AT,106,2015-7-9,2015-7-9,7.074707669,-75.14834842,CR018741,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,5040,2015
107,AT,107,2015-7-11,2015-7-11,2.777413702,-77.66756524,CR018743,DESCONOCIDO,NO APLICA,,,,,0.0,0,0,0,0,0,19809,2015
108,AT,108,2015-7-13,2015-7-13,3.323918106,-76.23450174,CR018744,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,76275,2015
109,AT,109,2015-9-13,2015-9-13,6.797075753,-71.7685578,CR018754,GUERRILLA,NO IDENTIFICADA,,,,,0.0,0,0,1,0,0,81300,2015
110,AT,110,2015-5-27,2015-5-27,2.477550593,-78.109849,CR018761,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,0.0,0,0,0,0,0,52250,2015
111,AT,111,2015-7-11,2015-7-11,1.152296118,-76.65027142,CR018765,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,86001,2015
112,AT,112,2015-7-19,2015-7-19,1.80711725,-78.76385415,CR018769,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,52835,2015
113,AT,113,2000-1-18,2000-1-18,4.65017303,-74.107359,CR018871,GUERRILLA,FARC,,,,,1.0,0,0,1,0,0,11001,2000
114,AT,114,1998-2-12,1998-2-12,6.246715564,-75.58171333,CR018872,GUERRILLA,ELN,,,,,4.0,0,0,1,0,0,5001,1998
115,AT,115,2000-3-31,2000-3-31,4.730954629,-74.4357071,CR018971,GUERRILLA,FARC,,,,,3.0,0,0,1,0,0,25123,2000
116,AT,116,1992-4-1,1992-4-1,3.414414305,-76.52156515,CR020249,GUERRILLA,FARC,,,,,3.0,0,0,1,0,0,76001,1992
117,AT,117,2003-4-24,2003-4-24,6.219450549,-75.24282171,CR021260,DESCONOCIDO,NO APLICA,,,,,4.0,0,0,0,0,0,5541,2003
118,AT,118,2003-5-8,2003-5-8,3.414414305,-76.52156515,CR021281,DESCONOCIDO,NO APLICA,,,,,3.0,0,0,0,0,0,76001,2003
119,AT,119,1999-7-30,1999-7-30,6.246715564,-75.58171333,CR023015,GUERRILLA,ELN,,,,,9.0,0,0,1,0,0,5001,1999
120,AT,120,1997-3-10,1997-3-10,8.745132591,-75.87557791,CR023019,GUERRILLA,NO IDENTIFICADA,,,,,0.0,0,0,1,0,0,23001,1997
121,AT,121,1996-10-21,1996-10-21,8.745132591,-75.87557791,CR023021,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,23001,1996
122,AT,122,2010-3-24,2010-3-24,3.875802437,-77.0117402,CR035022,GUERRILLA,FARC,,,,,9.0,0,0,1,0,0,76109,2010
123,AT,123,1997-7-27,1997-7-27,7.074707669,-75.14834842,CR036067,GUERRILLA,NO IDENTIFICADA,,,,,20.0,0,0,1,0,0,5040,1997
124,AT,124,2003-8-8,2003-8-8,6.95385957,-71.87233343,CR040165,GUERRILLA,FARC,,,,,5.0,0,0,1,0,0,81736,2003
125,AT,125,2001-10-7,2001-10-7,6.293754876,-75.02798382,CR041132,GUERRILLA,FARC,,,,,3.0,0,0,1,0,0,5667,2001
126,AT,126,1999-12-17,1999-12-17,0.4239040926,-76.9059688,CR046007,GUERRILLA,FARC,,,,,6.0,0,0,1,0,0,86865,1999
