,dataset,event,date,enddate,latitude,longitude,relcase_tax,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,clash_tax,govattack_tax,guerrattack_tax,parattack_tax,posdattack_tax,c_digo_dane_de_municipio,year
337,AP,337,2002-2-28,2002-2-28,1.001135181,-77.4489786,CR048736,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,52287,2002
338,AP,338,1998-12-25,1998-12-25,1.992494881,-76.04414126,CR048760,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,0,0,1,0,0,41660,1998
339,AP,339,1999-4-17,1999-4-17,2.623338254,-76.57088427,CR048763,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19130,1999
340,AP,340,1998-3-29,1998-3-29,1.742475705,-77.33456556,CR048767,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,52256,1998
341,AP,341,1995-8-6,1995-8-6,1.337574043,-71.95054317,CR048797,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,27.0,0,0,1,0,0,95200,1995
342,AP,342,1996-3-14,1996-3-14,3.323918106,-76.23450174,CR048799,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,0,0,1,0,0,76275,1996
343,AP,343,1997-12-11,1997-12-11,6.475209953,-72.96981379,CR201711932,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,6.0,0,0,1,0,0,68464,1997
344,AP,344,1998-8-3,1998-8-3,11.2294335,-74.19089412,CR201734862,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,1.0,0,0,1,0,0,47001,1998
345,AP,345,2000-12-26,2000-12-26,4.877968134,-74.46743733,CR201734980,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,25328,2000
346,AP,346,2002-12-12,2002-12-12,0.9061853609,-77.79227662,CR2017395353,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,FARC,5.0,0,0,1,0,0,52227,2002
347,AP,347,2006-8-4,2006-8-4,5.078464508,-75.12096615,CR2017422139,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,73152,2006
348,AP,348,1992-3-3,1992-3-3,8.389604097,-73.38003986,CR20175860,AGENTE DEL ESTADO,POLICÍA NACIONAL,GRUPO ARMADO NO DIRIMIDO,NO APLICA,,,0.0,0,0,0,0,0,20310,1992
349,AP,349,1988-2-6,1988-2-6,5.789747931,-75.78549855,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,EPL,,,1.0,0,0,1,0,0,5368,1988
350,AP,350,1988-2-19,1988-2-19,3.369528485,-73.48784863,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,50287,1988
351,AP,351,1988-3-1,1988-3-1,8.688650964,-73.66635487,,AGENTE DEL ESTADO,POLICÍA NACIONAL,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,ELN,4.0,0,0,1,0,0,20550,1988
352,AP,352,1988-4-7,1988-4-7,7.17162903,-75.76467317,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,5361,1988
353,AP,353,1988-4-18,1988-4-18,9.361189611,-73.60014444,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0.0,0,0,1,0,0,20178,1988
354,AP,354,1988-5-10,1988-5-10,8.389604097,-73.38003986,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,1.0,0,0,1,0,0,20310,1988
355,AP,355,1988-5-28,1988-5-28,9.872296464,-74.58197051,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0.0,0,0,1,0,0,47555,1988
356,AP,356,1988-7-12,1988-7-12,6.282155852,-75.33261381,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,2.0,0,0,1,0,0,5674,1988
357,AP,357,1988-11-8,1988-11-8,3.323918106,-76.23450174,,GUERRILLA,FARC,GUERRILLA,FARC,,,1.0,0,0,1,0,0,76275,1988
358,AP,358,1988-11-12,1988-11-12,7.079639679,-74.70159107,,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,FARC/ELN,,,0.0,0,0,1,0,0,5736,1988
359,AP,359,1988-11-29,1988-11-29,7.186250037,-72.87820252,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,1.0,0,0,1,0,0,68820,1988
360,AP,360,1988-12-27,1988-12-27,7.954176376,-73.94731196,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,7.0,0,0,1,0,0,13744,1988
361,AP,361,1990-12-7,1990-12-7,4.985812862,-75.60748073,,GUERRILLA,NO IDENTIFICADA,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,1.0,0,0,1,0,0,17174,1990
362,AP,362,1990-12-30,1990-12-30,5.031660681,-73.10416792,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,4.0,0,0,1,0,0,15135,1990
363,AP,363,1991-3-8,1991-3-8,2.45137136,-76.81077225,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,1.0,0,0,1,0,0,19256,1991
364,AP,364,1992-10-26,1992-10-26,8.850567734,-76.4270568,,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,4.0,0,0,1,0,0,5051,1992
